country_name;country_code;Region;indicator_name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;Latin America and Caribbean;GDP (constant 2010 US$);;;;;;;;;;;;;;;;;981607427.2;1139434504;1351923641;1515909823;1575961101;1701452874;1801538337;1933189215;2091786180;2145066984;2170502935;2323455542;2369738447;2399076807;2581804608;2505092565;2423084692;2470953875;2666444959;2698824916;2727178974;2776274358;2773756054;2481963892;2390502793;2472880828;2439005749;2541400876;2549025079;2694319531;2750900230;2805918210;;
Afghanistan;AFG;Asia;GDP (constant 2010 US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7465114629;8124454292;8239343661;9164598459;9655582954;10990594707;11421973771;13865194315;15856574731;15924179998;17954877147;18960483970;19477070578;19759744157;20206376461;20741239893;20987900553;21808863988
Angola;AGO;Africa;GDP (constant 2010 US$);;;;;;;;;;;26637104502;25465071579;25465071579;26534604949;28126681821;29111115541;29955338399;31178339569;33089225853;33102998073;31960911972;32277759446;30393293235;23103942844;23413388607;26925396905;30572272219;32796184094;34334701120;35083709095;36155384575;37676079529;42824774451;44105170975;48935949384;56290491777;62790739427;71587733475;79581318823;80264693647;83799496611;86708995310;94115840393;98778851724;1.04E+11;1.05E+11;1.02E+11;1.02E+11;99635881426;99013511554
Albania;ALB;Europe;GDP (constant 2010 US$);;;;;;;;;;;5323398064;5629261102;5795245315;5859279197;5785944656;5888971730;6220947387;6171936110;6084292169;6682776548;6042857913;4350728280;4038036613;4424049157;4791372056;5429694612;5923796792;5276919125;5742875712;6483126461;6933706092;7508515183;7849398817;8283474557;8739893897;9223202584;9767379280;10351466806;11127823666;11500613162;11926928506;12230507222;12403877841;12528163103;12750473702;13033375122;13465406060;13977387391;14546448944;14872299622
Andorra;AND;Europe;GDP (constant 2010 US$);1012346693;1059415401;1145755039;1234991794;1304383387;1311455827;1354783535;1393240089;1413623194;1414210656;1445446718;1443531869;1461524933;1487395653;1513941005;1549086132;1599482888;1688208158;1774210989;1859852761;1930181002;1979323466;1997715576;1977109460;2024227689;2080045751;2176762473;2374144159;2449993086;2550420283;2640408326;2854792523;2984581731;3244067347;3507994167;3697348535;3875142516;3935330770;3716558399;3519475010;3449966857;3449688453;3278085642;3161792390;3240978391;3287458571;3409412701;3421211719;3475566751;3539838261
Arab World;ARB;;GDP (constant 2010 US$);;;;;;5.70E+11;6.60E+11;7.14E+11;7.09E+11;7.92E+11;8.64E+11;8.90E+11;8.09E+11;7.54E+11;7.64E+11;7.45E+11;7.80E+11;7.76E+11;8.20E+11;8.40E+11;9.50E+11;9.64E+11;1.01E+12;1.04E+12;1.08E+12;1.11E+12;1.16E+12;1.21E+12;1.27E+12;1.29E+12;1.37E+12;1.39E+12;1.39E+12;1.47E+12;1.61E+12;1.70E+12;1.81E+12;1.89E+12;2.00E+12;2.01E+12;2.10E+12;2.18E+12;2.33E+12;2.40E+12;2.46E+12;2.54E+12;2.63E+12;2.66E+12;2.71E+12;2.75E+12
United Arab Emirates;ARE;Middle East;GDP (constant 2010 US$);;;;;;56806673982;66195031477;80386802832;79108971545;95661395017;1.19E+11;1.24E+11;1.16E+11;1.10E+11;1.15E+11;1.11E+11;93974812607;97153023581;94608675562;1.06E+11;1.26E+11;1.27E+11;1.31E+11;1.33E+11;1.42E+11;1.51E+11;1.60E+11;1.73E+11;1.74E+11;1.79E+11;1.98E+11;2.01E+11;2.06E+11;2.24E+11;2.45E+11;2.57E+11;2.83E+11;2.92E+11;3.01E+11;2.85E+11;2.90E+11;3.10E+11;3.24E+11;3.40E+11;3.55E+11;3.73E+11;3.84E+11;3.93E+11;3.98E+11;4.05E+11
Argentina;ARG;Latin America and Caribbean;GDP (constant 2010 US$);1.69E+11;1.79E+11;1.82E+11;1.87E+11;1.97E+11;1.97E+11;1.93E+11;2.06E+11;1.97E+11;2.17E+11;2.21E+11;2.09E+11;2.08E+11;2.17E+11;2.20E+11;2.09E+11;2.21E+11;2.27E+11;2.25E+11;2.09E+11;2.04E+11;2.22E+11;2.40E+11;2.60E+11;2.75E+11;2.67E+11;2.82E+11;3.05E+11;3.16E+11;3.06E+11;3.03E+11;2.90E+11;2.58E+11;2.81E+11;3.06E+11;3.34E+11;3.60E+11;3.93E+11;4.09E+11;3.85E+11;4.24E+11;4.49E+11;4.44E+11;4.55E+11;4.44E+11;4.56E+11;4.46E+11;4.59E+11;4.47E+11;4.38E+11
Armenia;ARM;Europe;GDP (constant 2010 US$);;;;;;;;;;;;;;;;;;;;;6352022585;5608836039;3264342421;2977080327;3137842747;3354353847;3551100143;3669035009;3936874564;4066791425;4306732119;4720178403;5343241952;6091295825;6730881886;7666474469;8678449098;9867396625;10548246992;9060944166;9260284938;9695518330;10393595650;10736584306;11123101341;11479040584;11501998665;12364648565;13007610290;13996188672
American Samoa;ASM;Oceania;GDP (constant 2010 US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;623365638.8;628440528.6;631823788.5;629286343.6;603066079.3;614907489;598837004.4;573462555.1;576000000;577691630;552317180.6;537092511;542167400.9;549779735.7;534555066.1;503259911.9;514255506.6;
